Office_Nam,District,District_old,cityblock,Address,Latitude,Longitude,print,Pricepre,Price,Avg_HousePrice,weibo_count,center_dis,center_FID,Subway_Dispre,Subway_Dis,busstation_Countpre,busstation_Count,bank_Countpre,bank_Count,shopping_Count,food_Countpre,food_Count,Residential_Count,firm_Count,education_Count,空间多样性,基础服务多样性,基础服务内容,企业服务多样性,企业服务内容,写字楼面积,写字楼电梯数量
创客邦（华夏幸福创新中心）,5,丰台,科技园区,汽车博物馆西路8号院,39.82211786,116.2948976,11,5.319148936,1100,"58,355.19",19,0.133251232,6,10.58929814,438.18,1.257861635,2,0,0,1,0.225035162,8,1,0,0,4,25,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 视频远程会议 多功能厅 咖啡厅 茶水间 书吧 休闲区 健身设施 中央空调 空气净化器 自动售卖机 微波炉 冰箱 卫生间配套 办公清,0, , ,0
太库科技孵化器（华夏幸福创新中心）,5,丰台,科技园区,汽车博物馆西路8号院,39.82276686,116.2950456,12,6.382978723,1200,"58,260.49",17,0.132722366,6,10.36148991,428.85,1.257861635,2,0,0,1,0.281293952,10,1,0,0,5,25,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 视频远程会议 多功能厅 咖啡厅 茶水间 书吧 休闲区 健身设施 中央空调 空气净化器 自动售卖机 微波炉 冰箱 卫生间配套 办公清,13,公司年检 法律咨询 财税代理 人事代理 人力招聘 投融资服务 运营服务 营销推荐 商务聚会 宣传设计 政策申请 创业辅导 政策顾问, ,0
启迪汇威孵化器(汉威国际广场),5,丰台,科技园区,南四环西路186号,39.82678935,116.28901,12,6.382978723,1200,"56,939.40",27,0.134978832,6,8.01650572,332.81,8.805031447,14,11.11111111,7,7,1.406469761,50,10,8,0,5,16,前台接见 办公家具 复印打印 办公宽带 WIFI 会议室 咖啡厅 茶水间 书吧 休闲区 健身设施 中央空调 空气净化器 卫生间配套 办公清洁 饮用水,13,公司年检 法律咨询 财税代理 人事代理 人力招聘 投融资服务 运营服务 营销推荐 商务聚会 宣传设计 政策申请 创业辅导 政策顾问,600000,36
摩天之星（时代财富天地）,5,丰台,科技园区,航丰路1号,39.83065696,116.2802917,14,8.510638298,1400,"53,852.45",191,0.137727571,5,10.3570949,428.67,18.86792453,30,22.22222222,14,11,6.075949367,216,24,0,0,6,25,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 视频远程会议 多功能厅 咖啡厅 茶水间 书吧 休闲区 健身设施 中央空调 空气净化器 自动售卖机 微波炉 冰箱 卫生间配套 办公清,13,公司年检 法律咨询 财税代理 人事代理 人力招聘 投融资服务 运营服务 营销推荐 商务聚会 宣传设计 政策申请 创业辅导 政策顾问,110000,10
永乐文化创客空间,5,丰台,其他,造甲街110号,39.84286421,116.2899816,10,4.255319149,1000,"56,845.67",303,0.122151554,5,6.653807181,277,16.35220126,26,1.587301587,1,41,11.61744023,413,59,21,0,5,21,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 视频远程会议 多功能厅 咖啡厅 茶水间 书吧 休闲区 健身设施 中央空调 空气净化器 微波炉 冰箱 卫生间配套 办公清洁,13,公司年检 法律咨询 财税代理 人事代理 人力招聘 投融资服务 运营服务 营销推荐 商务聚会 宣传设计 政策申请 创业辅导 政策顾问, ,0
中关村海淀创业园（焦奥）分园（焦奥中心）,3,朝阳,其他,化工路59号,39.84976604,116.5258588,12,6.382978723,1200,"48,897.00",65,0.103902654,1,10.11878746,418.91,11.32075472,18,0,0,14,2.475386779,88,2,0,2,4,18,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 茶水间 休闲区 中央空调 空气净化器 自动售卖机 微波炉 冰箱 卫生间配套 办公清洁 饮用水,0, ,150000,6
优客工场（云谷电子商务产业园）,5,丰台,方庄,南方庄56号院,39.85379004,116.4296376,12,6.382978723,1200,"62,533.63",240,0.057307331,2,26.73828912,1099.57,41.50943396,66,4.761904762,3,54,19.07172996,678,111,2,1,4,22,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 视频远程会议 多功能厅 咖啡厅 茶水间 书吧 休闲区 中央空调 空气净化器 自动售卖机 微波炉 冰箱 卫生间配套 办公清洁 饮用水,0, ,30000,0
梦想加（聚杰金融大厦）,5,丰台,丽泽桥,丽泽路和菜户营路交叉处西南角700米,39.85997465,116.3441814,15,9.574468085,1500,"69,913.42",38,0.07120134,6,9.653160137,399.84,7.547169811,12,1.587301587,1,8,5.147679325,183,9,1,8,10,18,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 茶水间 休闲区 中央空调 空气净化器 自动售卖机 微波炉 冰箱 卫生间配套 办公清洁 饮用水,0, ,196085,0
嗨淘客众创空间(高和?蓝峰),3,朝阳,十里河,朝阳区区东三环南路98号,39.86486782,116.455818,19,13.82978723,1900,"58,093.25",166,0.060601792,2,6.907741329,287.4,44.65408805,71,20.63492063,13,17,16.82137834,598,29,1,0,2,7,会议室 洽谈室 咖啡厅 茶水间 书吧 休闲区 饮用水,0, ,43500,3
瀚海众创空间（瀚海花园大厦）,5,丰台,右安门,开阳路1号,39.86708749,116.3676534,7,1.063829787,700,"87,021.04",157,0.050061687,6,14.60536436,602.66,30.81761006,49,14.28571429,9,32,12.43319269,442,70,0,0,1,25,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 视频远程会议 多功能厅 咖啡厅 茶水间 书吧 休闲区 健身设施 中央空调 空气净化器 自动售卖机 微波炉 冰箱 卫生间配套 办公清,0, ,32000,3
尚科创业社区（尚科创业社区（上地））,4,海淀,上地,东北旺西路58号中外运联想物流中心,40.04328,116.293572,13,7.446808511,1300,"86,077.22",188,0.051359319,6,20.70808561,852.6,30.18867925,48,17.46031746,11,34,15.07735584,536,85,0,0,8,17,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 茶水间 休闲区 中央空调 空气净化器 微波炉 冰箱 卫生间配套 办公清洁 饮用水,0, ,25000,0
中新合创（古隆盛商务楼）,3,朝阳,十里河,莫泰酒店（十里河分店）西50米,39.86984361,116.4458138,12,6.382978723,1200,"67,758.59",83,0.050272121,2,21.74799477,895.19,9.433962264,15,4.761904762,3,24,9.760900141,347,64,0,2,2,18,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 咖啡厅 茶水间 书吧 休闲区 中央空调 微波炉 冰箱 卫生间配套 办公清洁 饮用水,13,公司年检 法律咨询 财税代理 人事代理 人力招聘 投融资服务 运营服务 营销推荐 商务聚会 宣传设计 政策申请 创业辅导 政策顾问, ,0
创融云巢（首科大厦）,5,丰台,六里桥,西三环南路14号,39.87587145,116.306895,13,7.446808511,1300,"73,659.29",320,0.085742156,5,24.21481852,996.22,61.63522013,98,9.523809524,6,15,11.44866385,407,57,1,0,5,25,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 视频远程会议 多功能厅 咖啡厅 茶水间 书吧 休闲区 健身设施 中央空调 空气净化器 自动售卖机 微波炉 冰箱 卫生间配套 办公清,0, ,106284,12
梦想加（天桥艺术加）,2,西城,其他,福长街47号,39.88132921,116.3889723,16,10.63829787,1600,"102,534.75",253,0.027433653,6,21.45157549,883.05,67.29559748,107,28.57142857,18,68,20.11251758,715,89,0,10,7,25,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 视频远程会议 多功能厅 咖啡厅 茶水间 书吧 休闲区 健身设施 中央空调 空气净化器 自动售卖机 微波炉 冰箱 卫生间配套 办公清,13,公司年检 法律咨询 财税代理 人事代理 人力招聘 投融资服务 运营服务 营销推荐 商务聚会 宣传设计 政策申请 创业辅导 政策顾问, ,0
天空space（天玉大厦）,1,东城,光明楼,光明路11号,39.88339975,116.4307857,11,5.319148936,1100,"84,622.74",171,0.030457934,2,21.80293245,897.44,29.55974843,47,17.46031746,11,39,17.44022504,620,104,2,1,13,17,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 茶水间 休闲区 中央空调 空气净化器 自动售卖机 微波炉 冰箱 卫生间配套 办公清洁,0, ,26000,4
wehome联合办公（德必WE”国际文化创意中心（龙潭））,1,东城,其他,光明西街1号,39.88352675,116.4288437,15,9.574468085,1500,"85,901.50",210,0.029341105,2,21.04576919,866.43,40.88050314,65,17.46031746,11,36,17.46835443,621,101,2,0,4,22,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 视频远程会议 多功能厅 咖啡厅 茶水间 书吧 休闲区 中央空调 空气净化器 自动售卖机 微波炉 冰箱 卫生间配套 办公清洁 饮用水,0, ,8969.7,0
中远通达商务中心（凯旋城）,3,朝阳,亚运村,朝阳区北苑路170号（亚运村北小营）,39.88362117,116.4610728,15,9.574468085,1500,"70,839.64",238,0.053048664,7,14.32335095,591.11,33.96226415,54,17.46031746,11,28,21.68776371,771,139,0,2,1,17,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 视频远程会议 多功能厅 咖啡厅 健身设施 中央空调 微波炉 冰箱 卫生间配套 办公清洁,12,公司年检 法律咨询 财税代理 人事代理 投融资服务 运营服务 营销推荐 商务聚会 宣传设计 政策申请 创业辅导 政策顾问,250000,2
中远通达商务中心（华腾北搪商务大厦）,3,朝阳,劲松,南磨房路37号,39.88362117,116.4610728,15,9.574468085,1500,"70,839.64",238,0.053048664,7,14.32335095,591.11,33.96226415,54,17.46031746,11,28,21.68776371,771,139,0,2,2,17,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 视频远程会议 多功能厅 咖啡厅 健身设施 中央空调 微波炉 冰箱 卫生间配套 办公清洁,12,公司年检 法律咨询 财税代理 人事代理 投融资服务 运营服务 营销推荐 商务聚会 宣传设计 政策申请 创业辅导 政策顾问,50000,7
赢地空间·南磨房路（新华创意产业园）,3,朝阳,南磨房,南磨房路甲5号,39.88373889,116.4692301,16,10.63829787,1600,"71,563.93",353,0.057181186,3,4.999572707,209.25,47.16981132,75,6.349206349,4,22,13.44585091,478,93,1,0,8,19,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 视频远程会议 茶水间 休闲区 中央空调 空气净化器 自动售卖机 微波炉 冰箱 卫生间配套 办公清洁 饮用水,0, , ,0
创富港（元大都）,3,朝阳,安贞,北土城东路4号院,39.88432689,116.4689341,15,9.574468085,1500,"72,104.72",362,0.056535475,3,6.228955818,259.6,28.93081761,46,9.523809524,6,19,13.19268636,469,89,2,0,2,25,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 视频远程会议 多功能厅 咖啡厅 茶水间 书吧 休闲区 健身设施 中央空调 空气净化器 自动售卖机 微波炉 冰箱 卫生间配套 办公清,13,公司年检 法律咨询 财税代理 人事代理 人力招聘 投融资服务 运营服务 营销推荐 商务聚会 宣传设计 政策申请 创业辅导 政策顾问, ,0
创富港（和众天成）,3,朝阳,南磨房,南磨坊路平乐园甲5号,39.88432689,116.4689341,8,2.127659574,800,"72,104.72",362,0.056535475,3,6.228955818,259.6,28.93081761,46,9.523809524,6,19,13.19268636,469,89,2,0,10,25,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 视频远程会议 多功能厅 咖啡厅 茶水间 书吧 休闲区 健身设施 中央空调 空气净化器 自动售卖机 微波炉 冰箱 卫生间配套 办公清,13,公司年检 法律咨询 财税代理 人事代理 人力招聘 投融资服务 运营服务 营销推荐 商务聚会 宣传设计 政策申请 创业辅导 政策顾问, ,0
wehome联合办公（德必WE”国际创意中心（天坛））,1,东城,天坛,法华寺街91号,39.88603452,116.4160369,20,14.89361702,2000,"90,261.96",208,0.023035813,2,11.11206065,459.59,49.68553459,79,9.523809524,6,38,12.82700422,456,45,0,0,7,25,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 视频远程会议 多功能厅 咖啡厅 茶水间 书吧 休闲区 健身设施 中央空调 空气净化器 自动售卖机 微波炉 冰箱 卫生间配套 办公清,0, , ,0
中远通达商务中心(珠江帝景1号商务公寓),3,朝阳,双井,广渠路28号院甲201,39.88698624,116.4777362,10,4.255319149,1000,"76,151.37",304,0.057059571,3,15.60400923,643.56,6.289308176,10,3.174603175,2,115,9.929676512,353,39,1,0,6,22,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 视频远程会议 多功能厅 咖啡厅 茶水间 休闲区 健身设施 中央空调 微波炉 冰箱 卫生间配套 办公清洁 茶点 免费咖啡 饮用水,12,公司年检 法律咨询 财税代理 人事代理 投融资服务 运营服务 营销推荐 商务聚会 宣传设计 政策申请 创业辅导 政策顾问,1000000,4
你的空间（国投财富广场）,5,丰台,六里桥,丰台区广安路9号,39.88992785,116.3172373,15,9.574468085,1500,"93,087.13",190,0.068342125,5,10.36173408,428.86,70.44025157,112,17.46031746,11,37,14.34599156,510,49,1,0,3,18,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 视频远程会议 多功能厅 茶水间 休闲区 健身设施 中央空调 微波炉 冰箱 卫生间配套 办公清洁,0, ,203785,3
Distrii办伴－双井佳龙大厦办公空间,3,朝阳,双井,东三环南路1号院2,39.89168315,116.4540579,18,12.76595745,1800,"76,228.27",432,0.042902298,7,4.06660888,171.04,56.60377358,90,28.57142857,18,78,54.28973277,"1,930",131,0,0,17,10,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 视频远程会议 多功能厅,0, ,26000,3
创享界WeWa（北京佳兆业广场）,3,朝阳,大望路,西大望路,39.89189685,116.4714611,23,18.08510638,2300,"74,841.52",402,0.050108891,3,0,4.49,37.10691824,59,25.3968254,16,31,23.26300985,827,56,1,1,13,22,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 视频远程会议 多功能厅 咖啡厅 茶水间 书吧 休闲区 中央空调 空气净化器 自动售卖机 微波炉 冰箱 卫生间配套 办公清洁 饮用水,13,公司年检 法律咨询 财税代理 人事代理 人力招聘 投融资服务 运营服务 营销推荐 商务聚会 宣传设计 政策申请 创业辅导 政策顾问,247000,7
HO-ME创客空间（竞园国际影像产业基地 ）,3,朝阳,百子湾,广渠路3号,39.89215894,116.5045574,15,9.574468085,1500,"65,058.78",208,0.061845361,1,12.29505195,508.04,10.06289308,16,1.587301587,1,16,4.078762307,145,12,0,0,4,24,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 视频远程会议 多功能厅 咖啡厅 茶水间 书吧 休闲区 健身设施 中央空调 空气净化器 自动售卖机 微波炉 冰箱 卫生间配套 办公清,0, ,60000,1
创富港（赛洛一号）,3,朝阳,百子湾,广渠路9号附近,39.89218705,116.4971127,7,1.063829787,700,"67,754.97",218,0.063507669,1,2.185298678,93.99,10.06289308,16,7.936507937,5,33,10.29535865,366,43,6,0,15,25,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 视频远程会议 多功能厅 咖啡厅 茶水间 书吧 休闲区 健身设施 中央空调 空气净化器 自动售卖机 微波炉 冰箱 卫生间配套 办公清,13,公司年检 法律咨询 财税代理 人事代理 人力招聘 投融资服务 运营服务 营销推荐 商务聚会 宣传设计 政策申请 创业辅导 政策顾问, ,0
CR Union（润联行·西堤红山）,2,西城,广安门外,西城区广安门外大街305号西堤红山11号楼,39.89242999,116.3291807,15,9.574468085,1500,"97,299.70",150,0.059040904,5,9.318650731,386.14,47.16981132,75,19.04761905,12,27,15.75246132,560,77,1,0,10,25,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 视频远程会议 多功能厅 咖啡厅 茶水间 书吧 休闲区 健身设施 中央空调 空气净化器 自动售卖机 微波炉 冰箱 卫生间配套 办公清,0, , ,0
Distrii办伴－九龙山外企大厦办公空间,3,朝阳,大望路,西大望路15号,39.89258085,116.4709371,17,11.70212766,1700,"75,292.91",379,0.049285216,3,1.887170221,81.78,37.73584906,60,23.80952381,15,31,24.1068917,857,58,1,1,14,19,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 视频远程会议 多功能厅 茶水间 休闲区 中央空调 自动售卖机 微波炉 冰箱 卫生间配套 办公清洁 饮用水,13,公司年检 法律咨询 财税代理 人事代理 人力招聘 投融资服务 运营服务 营销推荐 商务聚会 宣传设计 政策申请 创业辅导 政策顾问,87254,4
方胜创新创业孵化器（外企大厦）,3,朝阳,大望路,西大望路15号,39.89278285,116.4698461,24,19.14893617,2400,"77,187.86",367,0.048727658,3,4.280987902,179.82,37.73584906,60,25.3968254,16,36,25.48523207,906,61,1,1,6,18,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 视频远程会议 多功能厅 茶水间 中央空调 微波炉 冰箱 卫生间配套 办公清洁 免费咖啡 饮用水,0, ,87254,4
雷格斯（乐成中心）,3,朝阳,双井,朝阳区东三环中路20号,39.89342915,116.4562629,40,36.17021277,4000,"77,253.40",475,0.044080538,7,3.231800369,136.85,52.83018868,84,38.0952381,24,87,57.41209564,"2,041",122,0,0,4,15,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 视频远程会议 多功能厅 茶水间 中央空调 卫生间配套 办公清洁 饮用水,3,运营服务 营销推荐 商务聚会,73200,7
优客工场（大江胡同）,1,东城,前门,前门大街大江胡同131号,39.8937277,116.3927611,10,4.255319149,1000,"94,099.12",449,0.014469972,6,9.638998425,399.26,42.13836478,67,12.6984127,8,77,32.88326301,"1,169",6,0,0,19,15,前台接见 办公家具 复印打印 办公宽带 WIFI 会议室 洽谈室 茶水间 中央空调 自动售卖机 微波炉 冰箱 卫生间配套 办公清洁 饮用水,2,公司年检 人事代理, ,0
优客工场（鲜鱼口）,1,东城,前门,前南大街鲜鱼口93-2号,39.8937277,116.3927611,10,4.255319149,1000,"94,099.12",449,0.014469972,6,9.638998425,399.26,42.13836478,67,12.6984127,8,77,32.88326301,"1,169",6,0,0,12,15,前台接见 办公家具 复印打印 办公宽带 WIFI 会议室 洽谈室 茶水间 中央空调 空气净化器 自动售卖机 微波炉 卫生间配套 办公清洁 饮用水,5,公司年检 法律咨询 人事代理 人力招聘 运营服务, ,0
方糖小镇（兴隆国际大厦）,1,东城,东单,祈年大街18号,39.89392814,116.4062999,10,4.255319149,1000,"92,812.52",339,0.016340244,6,11.18286921,462.49,19.49685535,31,26.98412698,17,93,27.67932489,984,142,1,1,4,13,前台接见 办公家具 复印打印 办公宽带 WIFI 会议室 咖啡厅 茶水间 休闲区 中央空调 自动售卖机 办公清洁 饮用水,4,公司年检 法律咨询 投融资服务 营销推荐,58262.36,14
优客工场(正仁大厦),1,东城,崇文门,崇文门外大街9号,39.89411314,116.4118499,15,9.574468085,1500,"92,371.17",1142,0.01508946,2,5.991869224,249.89,41.50943396,66,41.26984127,26,122,84.47257384,"3,003",214,1,2,4,21,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 视频远程会议 多功能厅 咖啡厅 茶水间 休闲区 中央空调 空气净化器 自动售卖机 微波炉 冰箱 卫生间配套 办公清洁 饮用水,13,公司年检 法律咨询 财税代理 人事代理 人力招聘 投融资服务 运营服务 营销推荐 商务聚会 宣传设计 政策申请 创业辅导 政策顾问,56351,6
WeWork（北京坊）,2,西城,西单,廊房头条21号院,39.8965852,116.3902154,33,28.72340426,3300,"102,745.63",441,0.012958298,6,6.291218518,262.15,58.49056604,93,12.6984127,8,88,32.65822785,"1,161",14,0,0,3,25,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 视频远程会议 多功能厅 咖啡厅 茶水间 书吧 休闲区 健身设施 中央空调 空气净化器 自动售卖机 微波炉 冰箱 卫生间配套 办公清,0, , ,0
INNONATION Powerhouse创新国度动力空间（富力万丽酒店）,3,朝阳,双井,东三环中路61号,39.89722715,116.4548119,15,9.574468085,1500,"80,254.82",347,0.041247534,7,12.38832391,511.86,30.18867925,48,30.15873016,19,63,37.41209564,"1,330",117,0,0,6,22,前台接见 办公家具 复印打印 办公宽带 WIFI 会议室 洽谈室 视频远程会议 多功能厅 咖啡厅 茶水间 书吧 休闲区 健身设施 中央空调 微波炉 冰箱 卫生间配套 办公清洁 茶点 免费咖啡 饮用水,8,法律咨询 人事代理 人力招聘 投融资服务 运营服务 商务聚会 创业辅导 政策顾问, ,0
梦想加（金隅·大成国际中心）,3,朝阳,百子湾,东四环中路76号,39.89828598,116.4864535,17,11.70212766,1700,"70,819.23",480,0.051997236,3,17.36933989,715.86,10.06289308,16,11.11111111,7,41,21.96905767,781,30,0,1,6,25,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 视频远程会议 多功能厅 咖啡厅 茶水间 书吧 休闲区 健身设施 中央空调 空气净化器 自动售卖机 微波炉 冰箱 卫生间配套 办公清,0, ,197425,2
方糖小镇（京粮大厦）,3,朝阳,双井,东三环中路16号,39.8990309,116.4563144,10,4.255319149,1000,"80,557.35",267,0.039866885,3,16.67443933,687.4,15.72327044,25,26.98412698,17,34,20.0281294,712,67,0,0,3,25,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 视频远程会议 多功能厅 咖啡厅 茶水间 书吧 休闲区 健身设施 中央空调 空气净化器 自动售卖机 微波炉 冰箱 卫生间配套 办公清,13,公司年检 法律咨询 财税代理 人事代理 人力招聘 投融资服务 运营服务 营销推荐 商务聚会 宣传设计 政策申请 创业辅导 政策顾问,44000,4
趣空间（金隅·大成国际中心）,3,朝阳,百子湾,东四环中路76号,39.89910198,116.4867635,18,12.76595745,1800,"70,679.54",621,0.051560701,3,19.48822502,802.64,15.09433962,24,7.936507937,5,37,21.96905767,781,26,0,1,4,25,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 视频远程会议 多功能厅 咖啡厅 茶水间 书吧 休闲区 健身设施 中央空调 空气净化器 自动售卖机 微波炉 冰箱 卫生间配套 办公清,13,公司年检 法律咨询 财税代理 人事代理 人力招聘 投融资服务 运营服务 营销推荐 商务聚会 宣传设计 政策申请 创业辅导 政策顾问,197425,2
