Office_Nam,District,District_old,cityblock,Address,Latitude,Longitude,print,Pricepre,Price,Avg_HousePrice,weibo_count,center_dis,center_FID,Subway_Dispre,Subway_Dis,busstation_Countpre,busstation_Count,bank_Countpre,bank_Count,shopping_Count,food_Countpre,food_Count,Residential_Count,firm_Count,education_Count,空间多样性,基础服务多样性,基础服务内容,企业服务多样性,企业服务内容,写字楼面积,写字楼电梯数量
启迪R+加速器（尚8国际广告园）,3,朝阳,大望路,下甸甲3号院1号楼,39.90048786,116.4678534,12,6.382978723,1200,"75,915.67",201,0.040799953,3,15.55102489,641.39,9.433962264,15,3.174603175,2,30,14.93670886,531,70,0,0,3,18,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 茶水间 休闲区 中央空调 空气净化器 自动售卖机 微波炉 冰箱 卫生间配套 办公清洁 饮用水,0, ,26000,5
we office（伊莎文心广场）,3,朝阳,四惠,惠河南街139号,39.90248498,116.4900025,10,4.255319149,1000,"68,602.71",847,0.051231211,3,12.32020119,509.07,35.22012579,56,6.349206349,4,26,8.438818565,300,25,0,0,45,24,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 视频远程会议 多功能厅 咖啡厅 茶水间 书吧 休闲区 中央空调 空气净化器 自动售卖机 微波炉 冰箱 卫生间配套 办公清洁 茶点 免,13,公司年检 法律咨询 财税代理 人事代理 人力招聘 投融资服务 运营服务 营销推荐 商务聚会 宣传设计 政策申请 创业辅导 政策顾问, ,0
世鳌商务中心（天银大厦）,2,西城,复兴门,复兴门南大街2号,39.90318797,116.3520905,35,30.85106383,3500,"110,793.60",482,0.039458396,5,6.667480558,277.56,37.73584906,60,58.73015873,37,106,31.56118143,"1,122",54,2,17,1,24,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 视频远程会议 多功能厅 咖啡厅 茶水间 书吧 健身设施 中央空调 空气净化器 自动售卖机 微波炉 冰箱 卫生间配套 办公清洁 茶点,0, ,150000,3
梦想加（万豪中心）,1,东城,建国门,建国门南大街7号C座,39.90342782,116.4282533,22,17.0212766,2200,"92,615.69",168,0.014761218,7,9.427305246,390.59,52.83018868,84,19.04761905,12,33,14.93670886,531,24,2,0,1,25,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 视频远程会议 多功能厅 咖啡厅 茶水间 书吧 休闲区 健身设施 中央空调 空气净化器 自动售卖机 微波炉 冰箱 卫生间配套 办公清,13,公司年检 法律咨询 财税代理 人事代理 人力招聘 投融资服务 运营服务 营销推荐 商务聚会 宣传设计 政策申请 创业辅导 政策顾问,126785.68,3
世鳌商务中心（瑞赛大厦）,3,朝阳,CBD,建国路128号,39.9036359,116.4570804,21,15.95744681,2100,"80,192.40",524,0.035332436,3,10.54778967,436.48,64.77987421,103,42.85714286,27,42,63.23488045,"2,248",43,0,1,2,25,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 视频远程会议 多功能厅 咖啡厅 茶水间 书吧 休闲区 健身设施 中央空调 空气净化器 自动售卖机 微波炉 冰箱 卫生间配套 办公清,13,公司年检 法律咨询 财税代理 人事代理 人力招聘 投融资服务 运营服务 营销推荐 商务聚会 宣传设计 政策申请 创业辅导 政策顾问,20000,2
世鳌商务中心（恋日国际中心）,3,朝阳,CBD,朝阳东三环南路2号,39.9040719,116.4586884,22,17.0212766,2200,"79,760.80",427,0.035081806,3,11.51420444,476.06,66.03773585,105,33.33333333,21,16,47.81997187,"1,700",35,0,1,1,24,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 视频远程会议 多功能厅 咖啡厅 茶水间 书吧 休闲区 健身设施 中央空调 空气净化器 自动售卖机 微波炉 冰箱 卫生间配套 办公清,13,公司年检 法律咨询 财税代理 人事代理 人力招聘 投融资服务 运营服务 营销推荐 商务聚会 宣传设计 政策申请 创业辅导 政策顾问,25615,2
易得商务中心 （恋日国际中心 ）,3,朝阳,CBD,朝阳东三环南路2号,39.9042229,116.4606194,23,18.08510638,2300,"79,497.34",288,0.035249411,3,14.71133303,607,71.69811321,114,25.3968254,16,11,27.45428973,976,44,0,0,11,25,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 视频远程会议 多功能厅 咖啡厅 茶水间 书吧 休闲区 健身设施 中央空调 空气净化器 自动售卖机 微波炉 冰箱 卫生间配套 办公清,13,公司年检 法律咨询 财税代理 人事代理 人力招聘 投融资服务 运营服务 营销推荐 商务聚会 宣传设计 政策申请 创业辅导 政策顾问,25615,2
氪空间（万科大都汇）,3,朝阳,国贸,东三环中路甲10号,39.9046949,116.4563574,22,17.0212766,2200,"82,712.66",573,0.034218175,3,7.583840998,315.09,76.72955975,122,44.44444444,28,58,68.2137834,"2,425",42,0,1,22,2,办公家具 办公宽带,0, ,42000,5
世联空间（赛特广场）,3,朝阳,建外大街,北京朝阳区建国门外大街22号,39.90514546,116.4343065,10,4.255319149,1000,"91,162.10",338,0.019266554,7,12.3321654,509.56,26.41509434,42,41.26984127,26,158,38.34036568,"1,363",70,0,0,15,21,前台接见 办公家具 复印打印 办公宽带 WIFI 会议室 洽谈室 多功能厅 咖啡厅 茶水间 书吧 休闲区 中央空调 空气净化器 自动售卖机 微波炉 冰箱 卫生间配套 办公清洁 茶点 饮用水,13,公司年检 法律咨询 财税代理 人事代理 人力招聘 投融资服务 运营服务 营销推荐 商务聚会 宣传设计 政策申请 创业辅导 政策顾问,52000,4
你的空间(建外SOHO）,3,朝阳,国贸,东三环中路39号院,39.90517492,116.4521571,18,12.76595745,1800,"85,175.01",727,0.033693672,3,10.6181099,439.36,50.31446541,80,63.49206349,40,121,86.83544304,"3,087",14,0,3,2,20,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 视频远程会议 多功能厅 茶水间 休闲区 中央空调 空气净化器 自动售卖机 微波炉 冰箱 卫生间配套 办公清洁 饮用水,3,公司年检 法律咨询 财税代理,700000,12
云享客（长富宫中心）,1,东城,建国门,北京市朝阳区建国门外大街26号,39.90533482,116.4315013,22,17.0212766,2200,"93,661.92",264,0.016608091,7,6.279986815,261.69,34.59119497,55,34.92063492,22,129,29.62025316,"1,053",38,1,0,4,25,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 视频远程会议 多功能厅 咖啡厅 茶水间 书吧 休闲区 健身设施 中央空调 空气净化器 自动售卖机 微波炉 冰箱 卫生间配套 办公清,13,公司年检 法律咨询 财税代理 人事代理 人力招聘 投融资服务 运营服务 营销推荐 商务聚会 宣传设计 政策申请 创业辅导 政策顾问,12000,2
瑞阁壹号Regency-One（中环世贸中心）,3,朝阳,国贸,建国门外大街甲6号,39.90545392,116.4510641,22,17.0212766,2200,"85,886.30",724,0.03348952,3,12.54605609,518.32,50.31446541,80,52.38095238,33,122,88.8326301,"3,158",22,0,3,8,23,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 视频远程会议 多功能厅 咖啡厅 茶水间 书吧 休闲区 中央空调 空气净化器 微波炉 冰箱 卫生间配套 办公清洁 茶点 免费咖啡 饮用,13,公司年检 法律咨询 财税代理 人事代理 人力招聘 投融资服务 运营服务 营销推荐 商务聚会 宣传设计 政策申请 创业辅导 政策顾问,235000,40
Cofco Fantasy（中粮大厦）,1,东城,建国门,建国门内大街8号,39.90558182,116.4234203,17,11.70212766,1700,"96,951.45",306,0.009660144,7,7.497161553,311.54,69.81132075,111,65.07936508,41,100,26.58227848,945,31,3,1,7,22,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 视频远程会议 多功能厅 咖啡厅 茶水间 书吧 休闲区 中央空调 空气净化器 自动售卖机 微波炉 冰箱 卫生间配套 办公清洁 饮用水,0, ,121828.78,8
东朗孵化器（东朗电影产业园）,3,朝阳,大望路,郎家园10号,39.90558286,116.4671704,13,7.446808511,1300,"73,682.87",969,0.035795844,3,7.932267949,329.36,47.16981132,75,31.74603175,20,130,59.01547117,"2,098",99,0,0,4,25,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 视频远程会议 多功能厅 咖啡厅 茶水间 书吧 休闲区 健身设施 中央空调 空气净化器 自动售卖机 微波炉 冰箱 卫生间配套 办公清,0, ,20000,4
德事商务中心（银泰中心）,3,朝阳,国贸,建国门外大街2号,39.9057479,116.4523684,75,73.40425532,7500,"85,842.62",748,0.033111081,3,9.409481022,389.86,50.94339623,81,77.77777778,49,118,88.2419128,"3,137",17,0,3,2,25,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 视频远程会议 多功能厅 咖啡厅 茶水间 书吧 休闲区 健身设施 中央空调 空气净化器 自动售卖机 微波炉 冰箱 卫生间配套 办公清,13,公司年检 法律咨询 财税代理 人事代理 人力招聘 投融资服务 运营服务 营销推荐 商务聚会 宣传设计 政策申请 创业辅导 政策顾问,74000,12
梦想加（北京佳兆业广场）,3,朝阳,大望路,西大望路,39.9060412,116.4729908,34,29.78723404,3400,"72,366.35",1469,0.037941436,3,3.780688796,159.33,70.44025157,112,52.38095238,33,158,67.73558368,"2,408",61,0,0,2,25,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 视频远程会议 多功能厅 咖啡厅 茶水间 书吧 休闲区 健身设施 中央空调 空气净化器 自动售卖机 微波炉 冰箱 卫生间配套 办公清,0, ,247000,7
氪空间（海航实业大厦）,3,朝阳,国贸,建国路108号,39.9061779,116.4591474,22,17.0212766,2200,"84,884.08",404,0.033066722,3,9.172638596,380.16,81.76100629,130,31.74603175,20,15,40.16877637,"1,428",37,0,1,20,17,前台接见 办公家具 复印打印 办公宽带 WIFI 会议室 洽谈室 视频远程会议 多功能厅 咖啡厅 茶水间 休闲区 卫生间配套 办公清洁 茶点 免费咖啡 饮用水,13,公司年检 法律咨询 财税代理 人事代理 人力招聘 投融资服务 运营服务 营销推荐 商务聚会 宣传设计 政策申请 创业辅导 政策顾问,33745.64,6
世鳌商务中心(sk大厦),3,朝阳,国贸,北京市朝阳区建国门外大街甲6号,39.90623392,116.4506431,28,23.40425532,2800,"85,859.76",740,0.032751422,3,12.79437438,528.49,48.42767296,77,57.14285714,36,128,90.49226442,"3,217",36,0,3,8,21,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 视频远程会议 多功能厅 咖啡厅 茶水间 休闲区 中央空调 空气净化器 自动售卖机 微波炉 冰箱 卫生间配套 办公清洁 饮用水,0, ,106303,16
雷格斯（新华保险大厦）,3,朝阳,永安里,建国门外大街12号,39.90625446,116.4408275,40,36.17021277,4000,"85,768.31",428,0.025163551,7,8.376896876,347.57,35.22012579,56,50.79365079,32,173,46.58227848,"1,656",161,0,0,8,19,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 多功能厅 茶水间 休闲区 健身设施 中央空调 空气净化器 自动售卖机 微波炉 冰箱 卫生间配套 办公清洁 免费咖啡,13,公司年检 法律咨询 财税代理 人事代理 人力招聘 投融资服务 运营服务 营销推荐 商务聚会 宣传设计 政策申请 创业辅导 政策顾问,70000,8
雷格斯（招商局大厦）,3,朝阳,CBD,朝阳区建国路118号,39.9062679,116.4579154,40,36.17021277,4000,"85,936.78",561,0.032804016,3,6.437963155,268.16,100,159,47.61904762,30,57,66.75105485,"2,373",40,0,1,7,25,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 视频远程会议 多功能厅 咖啡厅 茶水间 书吧 休闲区 健身设施 中央空调 空气净化器 自动售卖机 微波炉 冰箱 卫生间配套 办公清,13,公司年检 法律咨询 财税代理 人事代理 人力招聘 投融资服务 运营服务 营销推荐 商务聚会 宣传设计 政策申请 创业辅导 政策顾问,320000,17
优客工场（优兰空间Ulan）,3,朝阳,永安里,建国门外大街乙12号,39.90648892,116.4429651,28,23.40425532,2800,"86,082.40",391,0.027195384,7,3.257926286,137.92,23.89937107,38,49.20634921,31,65,42.3628692,"1,506",158,0,0,2,22,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 视频远程会议 多功能厅 咖啡厅 茶水间 书吧 休闲区 中央空调 空气净化器 自动售卖机 微波炉 冰箱 卫生间配套 办公清洁 饮用水,13,公司年检 法律咨询 财税代理 人事代理 人力招聘 投融资服务 运营服务 营销推荐 商务聚会 宣传设计 政策申请 创业辅导 政策顾问,150000,26
事易好LG双子座大厦中心,3,朝阳,永安里,建国门外大街乙12号,39.90653592,116.4424811,38,34.04255319,3800,"85,028.53",405,0.026712343,7,4.306625484,180.87,24.52830189,39,49.20634921,31,77,43.34739803,"1,541",162,0,0,4,24,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 视频远程会议 多功能厅 咖啡厅 茶水间 书吧 休闲区 健身设施 中央空调 空气净化器 自动售卖机 微波炉 冰箱 卫生间配套 办公清,13,公司年检 法律咨询 财税代理 人事代理 人力招聘 投融资服务 运营服务 营销推荐 商务聚会 宣传设计 政策申请 创业辅导 政策顾问,150000,26
裸心社（大望路）,3,朝阳,大望路,建国路甲92,39.90655586,116.4650214,38,34.04255319,3800,"73,273.97",884,0.034134161,3,12.41908901,513.12,30.81761006,49,30.15873016,19,128,56.93389592,"2,024",105,0,2,1,25,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 视频远程会议 多功能厅 咖啡厅 茶水间 书吧 休闲区 健身设施 中央空调 空气净化器 自动售卖机 微波炉 冰箱 卫生间配套 办公清,0, ,72194,10
星创空间（SOHO现代城）,3,朝阳,大望路,北京朝阳区建国路88号建国门外临近金地中心,39.90656186,116.4690664,14,8.510638298,1400,"73,757.61",1538,0.035653454,3,2.72612958,116.14,73.58490566,117,41.26984127,26,241,88.57946554,"3,149",109,0,2,1,21,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 咖啡厅 茶水间 休闲区 健身设施 中央空调 空气净化器 自动售卖机 微波炉 冰箱 卫生间配套 办公清洁 茶点 免费咖啡 饮用水,13,公司年检 法律咨询 财税代理 人事代理 人力招聘 投融资服务 运营服务 营销推荐 商务聚会 宣传设计 政策申请 创业辅导 政策顾问,490000,5
国信众创（SOH0现代城）,3,朝阳,大望路,北京朝阳区建国路88号建国门外临近金地中心,39.90656186,116.4690664,10,4.255319149,1000,"73,757.61",1538,0.035653454,3,2.72612958,116.14,73.58490566,117,41.26984127,26,241,88.57946554,"3,149",109,0,2,3,17,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 视频远程会议 多功能厅 茶水间 休闲区 中央空调 微波炉 冰箱 卫生间配套 办公清洁,0, ,490000,5
天使汇众创空间（中关村创业大街）,4,海淀,中关村,海淀西大街36号,39.90688753,116.2418081,15,9.574468085,1500,"73,336.41",148,0.123558985,0,12.58414621,519.88,30.81761006,49,6.349206349,4,9,4.641350211,165,33,0,20,3,10,办公家具 复印打印 办公宽带 WIFI 咖啡厅 中央空调 空气净化器 卫生间配套 办公清洁 饮用水,8,公司年检 法律咨询 财税代理 人事代理 人力招聘 投融资服务 创业辅导 政策顾问, ,0
优客工场（凯德晶品）,4,海淀,万寿路,凯德晶品购物中心,39.90698018,116.2913706,16,10.63829787,1600,"91,565.07",681,0.07880513,5,5.933269036,247.49,44.65408805,71,26.98412698,17,64,28.18565401,"1,002",127,0,1,3,18,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 视频远程会议 茶水间 休闲区 中央空调 空气净化器 微波炉 冰箱 卫生间配套 办公清洁 饮用水,13,公司年检 法律咨询 财税代理 人事代理 人力招聘 投融资服务 运营服务 营销推荐 商务聚会 宣传设计 政策申请 创业辅导 政策顾问, ,0
ibase（金地中心）,3,朝阳,大望路,建国路91号,39.90781686,116.4683754,33,28.72340426,3300,"71,942.50",1786,0.034223815,3,4.591813065,192.55,70.44025157,112,61.9047619,39,253,99.4092827,"3,534",122,0,2,6,21,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 视频远程会议 多功能厅 咖啡厅 茶水间 书吧 休闲区 中央空调 微波炉 冰箱 卫生间配套 办公清洁 免费咖啡 饮用水,13,公司年检 法律咨询 财税代理 人事代理 人力招聘 投融资服务 运营服务 营销推荐 商务聚会 宣传设计 政策申请 创业辅导 政策顾问,104000,25
德事商务中心（国贸二期）,3,朝阳,国贸,北京市朝阳区建国门外大街1号,39.90797092,116.4521861,76,74.46808511,7600,"84,255.07",715,0.030900094,3,8.478470535,351.73,54.08805031,86,80.95238095,51,91,78.05907173,"2,775",38,1,2,2,18,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 咖啡厅 茶水间 休闲区 中央空调 空气净化器 自动售卖机 微波炉 冰箱 卫生间配套 办公清洁,0, , ,0
徳事商务中心（国贸一期）,3,朝阳,国贸,建国门外大街1号,39.90797092,116.4521861,18,12.76595745,1800,"84,255.07",715,0.030900094,3,8.478470535,351.73,54.08805031,86,80.95238095,51,91,78.05907173,"2,775",38,1,2,3,25,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 视频远程会议 多功能厅 咖啡厅 茶水间 书吧 休闲区 健身设施 中央空调 空气净化器 自动售卖机 微波炉 冰箱 卫生间配套 办公清,13,公司年检 法律咨询 财税代理 人事代理 人力招聘 投融资服务 运营服务 营销推荐 商务聚会 宣传设计 政策申请 创业辅导 政策顾问,123900,16
艾克商务中心（金地中心）,3,朝阳,大望路,建国路91号,39.90798547,116.4682955,45,41.4893617,4500,"71,942.50",1827,0.034037235,3,4.947320873,207.11,69.18238994,110,61.9047619,39,252,100,"3,555",123,0,2,5,20,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 视频远程会议 咖啡厅 茶水间 休闲区 中央空调 空气净化器 自动售卖机 微波炉 冰箱 卫生间配套 办公清洁 饮用水,0, ,104000,25
纳什空间（SPACE·CBD万达）,3,朝阳,CBD,建国路91号,39.90798547,116.4682955,18,12.76595745,1800,"71,942.50",1827,0.034037235,3,4.947320873,207.11,69.18238994,110,61.9047619,39,252,100,"3,555",123,0,2,3,18,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 视频远程会议 多功能厅 茶水间 中央空调 空气净化器 微波炉 冰箱 卫生间配套 办公清洁 饮用水,13,公司年检 法律咨询 财税代理 人事代理 人力招聘 投融资服务 运营服务 营销推荐 商务聚会 宣传设计 政策申请 创业辅导 政策顾问,500000,6
德事商务中心（华贸中心）,3,朝阳,大望路,建国路79号,39.90799681,116.4760727,57,54.25531915,5700,"72,710.15",970,0.037978781,3,10.75508784,444.97,43.39622642,69,41.26984127,26,123,40.08438819,"1,425",33,0,0,2,25,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 视频远程会议 多功能厅 咖啡厅 茶水间 书吧 休闲区 健身设施 中央空调 空气净化器 自动售卖机 微波炉 冰箱 卫生间配套 办公清,13,公司年检 法律咨询 财税代理 人事代理 人力招聘 投融资服务 运营服务 营销推荐 商务聚会 宣传设计 政策申请 创业辅导 政策顾问,100000,12
世服宏图（东方广场）,1,东城,王府井,北京市东城区东长安街1号,39.90808383,116.405646,40,36.17021277,4000,"107,107.05",1197,0.008466155,6,3.473281977,146.74,27.04402516,43,69.84126984,44,267,73.78340366,"2,623",61,1,11,7,22,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 视频远程会议 多功能厅 咖啡厅 茶水间 健身设施 中央空调 空气净化器 微波炉 冰箱 卫生间配套 办公清洁 茶点 免费咖啡 饮用水,13,公司年检 法律咨询 财税代理 人事代理 人力招聘 投融资服务 运营服务 营销推荐 商务聚会 宣传设计 政策申请 创业辅导 政策顾问,150000,36
创富港（寰岛博雅大酒店）,4,海淀,万寿路,万寿路西街2号,39.90830784,116.2884138,12,6.382978723,1200,"92,860.59",482,0.080926701,5,5.031070308,210.54,23.89937107,38,9.523809524,6,54,19.74683544,702,117,0,0,6,24,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 视频远程会议 多功能厅 咖啡厅 茶水间 书吧 休闲区 中央空调 空气净化器 自动售卖机 微波炉 冰箱 卫生间配套 办公清洁 茶点 免,13,公司年检 法律咨询 财税代理 人事代理 人力招聘 投融资服务 运营服务 营销推荐 商务聚会 宣传设计 政策申请 创业辅导 政策顾问,50000,2
氪空间（海峡国际大厦）,2,西城,三里河,二七剧场路13号院,39.90910776,116.3396311,26,21.27659574,2600,"115,404.45",288,0.039378583,5,18.00344276,741.83,25.78616352,41,20.63492063,13,55,26.4416315,940,139,1,1,32,2,办公家具 办公宽带,0, ,45914,5
氪空间（中海广场）,3,朝阳,国贸,北京朝阳区光华路东里8号,39.90947783,116.450301,25,20.21276596,2500,"81,773.35",521,0.029564821,3,13.70780481,565.9,44.65408805,71,82.53968254,52,100,50.5766526,"1,798",63,2,0,6,2,办公家具 办公宽带,0, ,151000,12
无界空间(中海广场),3,朝阳,国贸,北京朝阳区光华路东里8号,39.91004783,116.450552,25,20.21276596,2500,"79,880.16",546,0.028969125,3,13.62527621,562.52,47.16981132,75,76.19047619,48,98,52.06751055,"1,851",59,2,0,3,19,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 视频远程会议 多功能厅 茶水间 休闲区 中央空调 空气净化器 微波炉 冰箱 卫生间配套 办公清洁 饮用水,0, ,151000,12
优客工场（华贸中心）,3,朝阳,大望路,建国路79号,39.91081581,116.4753807,20,14.89361702,2000,"72,789.70",1373,0.0353031,3,11.81257707,488.28,55.34591195,88,50.79365079,32,133,50.18284107,"1,784",69,4,0,7,19,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 视频远程会议 多功能厅 茶水间 休闲区 中央空调 自动售卖机 微波炉 冰箱 卫生间配套 办公清洁 饮用水,13,公司年检 法律咨询 财税代理 人事代理 人力招聘 投融资服务 运营服务 营销推荐 商务聚会 宣传设计 政策申请 创业辅导 政策顾问,100000,12
P2·初廬（华贸SPACE),3,朝阳,大望路,建国路89号,39.91090347,116.4721905,10,4.255319149,1000,"72,474.49",1557,0.033383593,3,8.225513057,341.37,67.29559748,107,66.66666667,42,153,63.88185654,"2,271",87,1,18,6,24,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 多功能厅 咖啡厅 茶水间 书吧 休闲区 健身设施 中央空调 空气净化器 自动售卖机 微波炉 冰箱 卫生间配套 办公清洁 茶点 免费咖,12,法律咨询 财税代理 人事代理 人力招聘 投融资服务 运营服务 营销推荐 商务聚会 宣传设计 政策申请 创业辅导 政策顾问,30000,2
